string_interactions
#node1,node2,node1_string_id,node2_string_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
ARAF,MAPK1,9606.ENSP00000290277,9606.ENSP00000215832,0,0,0,0.592,0.094,0.110,0.500,0.251,0.657
ARAF,SOS 2,9606.ENSP00000290277,9606.ENSP00000216373,0,0,0,0,0.064,0.084,0,0.523,0.556
ARAF,PPP2CB,9606.ENSP00000290277,9606.ENSP00000221138,0,0,0,0,0,0.097,0.400,0.090,0.463
ARAF,RRAS2,9606.ENSP00000290277,9606.ENSP00000256196,0,0,0,0,0.074,0.407,0.900,0.484,0.967
ARAF,MAP2K2,9606.ENSP00000290277,9606.ENSP00000262948,0,0,0,0.575,0.126,0.925,0.900,0.572,0.996
ARAF,PIK3CA,9606.ENSP00000290277,9606.ENSP00000263967,0,0,0,0,0.059,0.327,0,0.553,0.692
ARAF,EGFR,9606.ENSP00000290277,9606.ENSP00000275493,0,0,0,0.583,0.042,0.102,0,0.552,0.581
ARAF,MYC,9606.ENSP00000290277,9606.ENSP00000478887,0,0,0,0,0.071,0.169,0,0.430,0.522
ARAF,NF1,9606.ENSP00000290277,9606.ENSP00000351015,0,0,0,0,0.042,0.092,0,0.530,0.556
ARAF,GRB2,9606.ENSP00000290277,9606.ENSP00000376345,0,0,0,0,0.060,0.100,0,0.555,0.591
ARAF,SOS 1,9606.ENSP00000290277,9606.ENSP00000384675,0,0,0,0,0.064,0.084,0,0.584,0.612
ARAF,PRKCA,9606.ENSP00000290277,9606.ENSP00000408695,0,0,0,0.579,0.044,0.050,0.900,0.077,0.904
ARAF,PRKACA,9606.ENSP00000290277,9606.ENSP00000309591,0,0,0,0.587,0.072,0.088,0.900,0.123,0.915
ARAF,RAP1A,9606.ENSP00000290277,9606.ENSP00000358723,0,0,0,0,0.092,0.284,0.900,0.255,0.945
ARAF,MAP2K1,9606.ENSP00000290277,9606.ENSP00000302486,0,0,0,0.577,0.109,0.911,0.900,0.372,0.994
ARAF,RAF1,9606.ENSP00000290277,9606.ENSP00000401888,0,0,0.060,0.959,0.064,0.786,0.900,0.803,0.995
ARAF,BRAF,9606.ENSP00000290277,9606.ENSP00000419060,0,0,0.063,0.954,0,0.880,0.900,0.861,0.998
ATF2,MAPK1,9606.ENSP00000264110,9606.ENSP00000215832,0,0,0,0,0.116,0.811,0.650,0.596,0.973
ATF2,CCND1,9606.ENSP00000264110,9606.ENSP00000227507,0,0,0,0,0.055,0.292,0.500,0.327,0.744
ATF2,DUSP1,9606.ENSP00000264110,9606.ENSP00000239223,0,0,0,0,0.057,0.331,0,0.619,0.739
ATF2,CREBBP,9606.ENSP00000264110,9606.ENSP00000262367,0,0,0,0,0.094,0.820,0.800,0.795,0.992
ATF2,EP300,9606.ENSP00000264110,9606.ENSP00000263253,0,0,0,0,0.119,0.516,0.800,0.757,0.976
ATF2,MAPK8IP3,9606.ENSP00000264110,9606.ENSP00000481780,0,0,0,0,0,0,0,0.417,0.416
ATF2,STAT3,9606.ENSP00000264110,9606.ENSP00000264657,0,0,0,0,0.098,0,0,0.392,0.429
ATF2,PRKCA,9606.ENSP00000264110,9606.ENSP00000408695,0,0,0,0,0.056,0,0.650,0.187,0.708
ATF2,PRKACA,9606.ENSP00000264110,9606.ENSP00000309591,0,0,0,0,0,0.094,0.650,0.355,0.777
ATF2,ATF4,9606.ENSP00000264110,9606.ENSP00000336790,0,0,0,0,0,0.198,0.900,0.222,0.932
ATF2,FOS,9606.ENSP00000264110,9606.ENSP00000306245,0,0,0,0.572,0,0.881,0.500,0.853,0.990
ATF4,MAPK1,9606.ENSP00000336790,9606.ENSP00000215832,0,0,0,0,0,0,0.650,0.184,0.702
ATF4,MKNK2,9606.ENSP00000336790,9606.ENSP00000250896,0,0,0,0,0.081,0,0.900,0.102,0.910
ATF4,CREBBP,9606.ENSP00000336790,9606.ENSP00000262367,0,0,0,0,0.042,0.783,0.900,0.478,0.987
ATF4,RPS6KA6,9606.ENSP00000336790,9606.ENSP00000262752,0,0,0,0,0,0,0.900,0,0.900
ATF4,EP300,9606.ENSP00000336790,9606.ENSP00000263253,0,0,0,0,0,0.791,0.900,0.485,0.988
